URN,UKPRN,TypeOfEstablishment (name)
106939,,Voluntary aided school
106940,,Voluntary aided school
106941,,Voluntary aided school
106942,10078680,Voluntary aided school
106943,,Voluntary aided school
106944,10078679,Voluntary aided school
106945,,Voluntary aided school
106946,,Voluntary aided school
106947,10015090,Community school
106948,,Community school
106949,10016810,Community school
106950,10015425,Foundation school
106951,10014946,Community school
106952,10004164,Community school
106953,10017409,Community school
106954,10007358,Foundation school
106955,10007496,Community school
106956,10016041,Community school
106957,10000439,Community school
106958,10001972,Community school
106959,10006466,Community school
106960,10000890,Community school
106961,10007297,Community school
106962,10017270,Voluntary aided school
106963,10017706,Voluntary aided school
106964,,Other independent school
106965,10016335,Other independent special school
106966,10017920,Community special school
106967,10014825,Community special school
106968,10016153,Community special school
106969,10016661,Community special school
106970,10015429,Community special school
106971,10015583,Community special school
106972,10017940,Community special school
106973,,Local authority nursery school
106974,,Local authority nursery school
106975,10039192,Local authority nursery school
106976,,Local authority nursery school
106977,,Local authority nursery school
106978,10017513,Pupil referral unit
106979,,Pupil referral unit
106980,,Pupil referral unit
106981,,Pupil referral unit
106982,10072602,Community school
106983,,Community school
106984,,Community school
106985,,Community school
106987,10070916,Community school
106988,10071446,Community school
106989,,Community school
106990,,Community school
106991,10075684,Community school
106992,10075683,Community school
106993,,Community school
106994,10071445,Community school
106995,10070915,Community school
106996,10073049,Foundation school
106997,10078408,Community school
106998,10071444,Community school
106999,10070914,Community school
107000,10078407,Community school
107001,10072601,Community school
107002,10068776,Community school
107003,,Community school
107004,10077348,Community school
107005,,Foundation school
107006,10077347,Community school
107007,10075682,Community school
107008,,Community school
107009,,Community school
107010,,Community school
107011,,Community school
107012,,Community school
107013,,Community school
107014,,Community school
107015,,Community school
107016,,Community school
107017,,Community school
107018,,Community school
107019,,Community school
107020,,Community school
107021,10044866,Community school
107022,,Community school
107023,10073048,Foundation school
107024,,Community school
107025,10070913,Community school
107026,10070912,Community school
107027,,Community school
107028,,Community school
107029,10070911,Community school
107030,,Community school
107031,,Community school
107032,,Community school
107033,10078406,Community school
107034,,Community school
107035,10071443,Community school
107036,10070910,Community school
107037,10071442,Community school
107038,10070909,Community school
107039,10081265,Community school
107040,10071441,Community school
107041,10044865,Community school
107042,,Community school
107043,10075681,Community school
107044,,Community school
107045,,Community school
107046,10071440,Community school
107047,10073047,Foundation school
107048,10070908,Community school
107049,10072600,Community school
107050,10070907,Community school
107051,10072599,Community school
107052,10077346,Community school
107053,,Community school
107054,10070906,Community school
107055,10071439,Community school
107056,,Community school
107057,10070905,Community school
107058,10081266,Community school
107059,10077345,Community school
107060,10072598,Community school
107061,10081267,Community school
107062,,Community school
107063,,Community school
107064,10070904,Community school
107065,,Community school
107066,10078405,Community school
107067,,Community school
107068,10075680,Community school
107069,10073046,Foundation school
107070,,Community school
107071,10073045,Foundation school
107072,10075858,Community school
107073,10068775,Community school
107074,,Community school
107075,,Community school
107076,,Community school
107077,10075679,Community school
107078,,Community school
107079,,Community school
107080,,Community school
107081,10075678,Community school
107082,,Community school
107083,10073044,Foundation school
107084,,Community school
107085,10068774,Community school
107086,10075677,Community school
107087,10068773,Community school
107088,,Community school
107089,,Community school
107090,10075676,Community school
107091,,Community school
107092,10075675,Community school
107093,10069327,Foundation school
107094,10041578,Community school
107095,10075674,Community school
107096,,Foundation school
107097,,Foundation school
107098,10077344,Community school
107099,,Community school
107100,10078404,Community school
107101,,Community school
107102,10078403,Community school
107103,,Community school
107104,,Community school
107105,,Voluntary controlled school
107106,10068646,Voluntary controlled school
107107,10068645,Voluntary aided school
107108,,Voluntary aided school
107109,,Voluntary aided school
107110,,Voluntary aided school
107111,,Voluntary aided school
107112,,Voluntary aided school
107113,,Voluntary aided school
107114,,Voluntary aided school
107115,,Voluntary aided school
107116,,Voluntary aided school
107117,10071383,Voluntary aided school
107118,,Voluntary aided school
107119,,Voluntary aided school
107120,,Voluntary aided school
107121,,Voluntary aided school
107122,10017750,Foundation school
107123,,Community school
107124,,Community school
107125,10015697,Community school
107126,10017972,Community school
107127,,Community school
107128,10005846,Community school
107129,10003619,Community school
107130,10015322,Foundation school
107131,10006498,Community school
107132,10016668,Community school
107133,,Community school
107134,,Community school
107135,10015531,Foundation school
107136,10015149,Foundation school
107137,10014922,Foundation school
107138,10017808,Foundation school
107139,10003063,Community school
107140,10003636,Community school
107141,10016617,Community school
107142,10015494,Community school
107143,10017258,Community school
107144,10015161,Community school
107145,,Community school
107146,10014857,Foundation school
107147,,Community school
107148,10015720,Community school
107149,10016476,Foundation school
107150,10078348,Voluntary aided school
107151,,Voluntary aided school
107152,,Voluntary aided school
107153,,Voluntary aided school
107154,10078294,Foundation school
107155,,Foundation school
107156,10068644,Voluntary aided school
107157,,Voluntary aided school
107158,10078678,Voluntary aided school
107159,10004781,Voluntary aided school
107160,10000226,Voluntary aided school
107161,,Other independent school
107162,10015709,Other independent school
107163,10008102,Other independent school
107164,10015199,Other independent school
107165,10078246,Other independent school
107166,10008487,Other independent school
107167,10017937,Other independent school
107168,10014805,Other independent school
107169,10014804,Community special school
107170,,Community special school
107171,10077009,Community special school
107172,10015780,Community special school
107173,,Community special school
107174,10016750,Community special school
107175,,Community special school
107176,10018748,Community special school
107177,10077008,Community special school
107178,10017114,Community special school
107179,,Community special school
107180,10077007,Community special school
107181,,Community special school
107182,10077006,Community special school
107183,,Community special school
107184,10016801,Community special school
107185,,Local authority nursery school
107186,,Local authority nursery school
107187,,Local authority nursery school
107188,,Local authority nursery school
107189,,Local authority nursery school
107190,10047807,Local authority nursery school
107191,,Pupil referral unit
107192,,Pupil referral unit
107193,,Community school
107194,,Community school
107195,,Community school
107196,,Community school
107197,,Community school
107198,,Community school
107199,10072597,Community school
107200,,Community school
107201,,Community school
107202,,Community school
107203,10075857,Community school
107204,10075673,Community school
107205,,Community school
107206,10075672,Community school
107207,,Community school
107208,,Community school
107209,10043582,Community school
107210,,Community school
107211,,Community school
107212,10073043,Foundation school
107213,,Community school
107214,,Community school
107215,10075671,Community school
107216,,Community school
107217,,Community school
107218,10075670,Community school
107219,10078402,Community school
107220,10077343,Community school
107221,10075669,Community school
107222,,Community school
107223,,Community school
107224,10072596,Community school
107225,10081268,Community school
107226,10075668,Community school
107227,,Community school
107228,,Community school
107229,,Community school
107230,10075667,Community school
107231,,Community school
107232,,Community school
107233,10075666,Community school
107234,10075665,Community school
107235,,Community school
107236,,Community school
107237,10072595,Community school
107238,10075664,Community school
107239,10078401,Community school
107240,10077342,Community school
107241,10075663,Community school
107242,10068772,Community school
107243,10075662,Community school
107244,,Community school
107245,,Community school
107246,10078400,Community school
107247,10075661,Community school
107248,10075660,Community school
107249,10078399,Community school
107250,10075659,Community school
107251,,Community school
107252,10072594,Community school
107253,10068771,Community school
107254,,Community school
107255,10075658,Community school
107256,,Community school
107257,,Community school
107258,,Community school
107259,,Community school
107260,,Community school
107261,10075657,Community school
107262,10075656,Community school
107263,,Community school
107264,,Community school
107265,10075655,Community school
107266,10078398,Community school
107267,,Community school
107268,10075654,Community school
107269,,Community school
107270,10078397,Community school
107271,,Community school
107272,10075653,Community school
107273,10075652,Community school
107274,10078396,Community school
107275,10072593,Community school
107276,,Community school
107277,10075651,Community school
107278,,Community school
107279,,Community school
107280,10075650,Community school
107281,10072592,Community school
107282,,Community school
107283,10078395,Community school
107284,,Community school
107285,,Community school
107286,10072591,Community school
107287,10075649,Community school
107288,,Community school
107289,,Community school
107290,,Community school
107291,,Community school
107292,,Community school
107293,10077341,Community school
107294,,Community school
107295,,Community school
107296,10075648,Community school
107297,,Community school
107298,,Community school
107299,10078394,Community school
107300,,Community school
107301,,Community school
107302,10075967,Voluntary controlled school
107303,10075966,Voluntary controlled school
107304,,Voluntary controlled school
107305,10068643,Voluntary controlled school
107306,,Voluntary controlled school
107307,10071382,Voluntary controlled school
107308,,Voluntary controlled school
107309,10068642,Voluntary controlled school
107310,,Voluntary controlled school
107311,,Voluntary controlled school
107312,,Voluntary controlled school
107313,10068641,Voluntary controlled school
107314,,Voluntary controlled school
107315,,Foundation school
107316,,Voluntary controlled school
107317,,Voluntary controlled school
107318,,Voluntary aided school
107319,10068640,Voluntary aided school
107320,10071381,Voluntary aided school
107321,10071380,Voluntary aided school
107322,,Voluntary aided school
107323,10071379,Voluntary aided school
107324,10078169,Voluntary aided school
107325,10078677,Voluntary aided school
107326,10078676,Voluntary aided school
107327,10078168,Voluntary aided school
107328,,Voluntary aided school
107329,10078675,Voluntary aided school
107330,10078674,Voluntary aided school
107331,,Voluntary aided school
107332,10078673,Voluntary aided school
107333,,Voluntary aided school
107334,10078672,Voluntary aided school
107335,10078671,Voluntary aided school
107336,10078670,Voluntary aided school
107337,10075965,Voluntary aided school
107338,10075964,Voluntary aided school
107339,10075963,Voluntary aided school
107340,10075962,Voluntary aided school
107341,10075961,Voluntary aided school
107342,10078669,Voluntary aided school
107343,,Voluntary aided school
107344,,Voluntary aided school
107345,,Voluntary aided school
107346,,Voluntary aided school
107347,,Voluntary aided school
107348,10078668,Voluntary aided school
107349,,Voluntary aided school
107350,10001068,Foundation school
107351,,Community school
107352,,Community school
107353,,Community school
107354,,Community school
107355,,Community school
107356,,Community school
107357,,Community school
107358,,Community school
107359,,Community school
107360,,Community school
107361,10000629,Community school
107362,,Community school
107363,10007672,Community school
107364,10005460,Community school
107365,,Community school
107366,10010362,Foundation school
107367,,Community school
107368,10000630,Community school
107369,,Community school
107370,,Community school
107371,,Community school
107372,,Community school
107373,,Community school
107374,,Community school
107375,,Community school
107376,,Community school
107377,,Community school
107378,,Community school
107379,,Community school
107380,,Community school
107381,,Community school
107382,,Community school
107383,,Community school
107384,,Community school
107385,,Community school
107386,10000606,Community school
107387,,Community school
107388,10002771,Community school
107389,,Community school
107390,,Community school
107391,10005346,Foundation school
107392,,Community school
107393,,Community school
107394,,Community school
107395,10005654,Community school
107396,,Community school
107397,10004485,Foundation school
107398,,Community school
107399,,Community school
107400,,Community school
107401,,Community school
107402,,Community school
107403,,Community school
107404,,Community school
107405,,Community school
107406,,Community school
107407,,Community school
107408,,Community school
107409,,Community school
107410,,Community school
107411,,Community school
107412,,Community school
107413,10001198,Community school
107414,10002741,Community school
107415,,Community school
107416,,Community school
107417,,Community school
107418,,Community school
107419,,Community school
107420,,Community school
107421,10003258,Voluntary controlled school
107422,,Voluntary controlled school
107423,10006279,Voluntary aided school
107424,,Voluntary aided school
107425,,Voluntary aided school
107426,,Voluntary aided school
107427,,Voluntary aided school
107428,10006698,Voluntary aided school
107429,10006202,Voluntary aided school
107430,10006937,Voluntary aided school
107431,10077527,Foundation school
107432,10077526,Foundation school
107433,10077525,Foundation school
107434,10077524,Foundation school
107435,,Foundation school
107436,10056907,Foundation school
107437,10077523,Foundation school
107438,10077522,Foundation school
107439,10000697,Voluntary aided school
107440,10002887,Foundation school
107441,10004831,Foundation school
107442,10006898,Foundation school
107443,10003749,Foundation school
107444,,Foundation school
107445,10078245,Other independent school
107446,,Other independent school
107447,,Other independent school
107448,,Other independent school
107449,10078244,Other independent school
107450,10078243,Other independent school
107451,,Other independent school
107452,,Other independent school
107453,10078242,Other independent school
107454,10000845,Other independent school
107455,10000846,Other independent school
107456,,Other independent school
107457,10008485,Other independent school
107458,10078241,Other independent school
107459,,Other independent school
107460,10018015,Other independent school
107461,10015242,Other independent school
107462,,City technology college
107463,,Community special school
107464,10018521,Community special school
107465,,Community special school
107466,10015119,Community special school
107467,,Community special school
107468,,Community special school
107469,10015099,Community special school
107470,,Community special school
107471,10015198,Community special school
107472,10017815,Community special school
107473,10015991,Community special school
107474,,Community special school
107475,10014974,Community special school
107476,,Pupil referral unit
107477,,Community school
107478,10075647,Community school
107479,,Community school
107480,10072590,Community school
107481,,Community school
107482,10077340,Community school
107483,10075646,Community school
107484,,Community school
107485,,Community school
107486,10075645,Community school
107487,10075644,Community school
107488,,Community school
107489,,Community school
107490,10072589,Community school
107491,,Community school
107492,,Community school
107493,,Community school
107494,10075643,Community school
107495,10072588,Community school
107496,,Foundation school
107497,10068770,Community school
107498,,Community school
107499,10072587,Community school
107500,10075642,Community school
107501,10077521,Foundation school
107502,10075641,Community school
107503,10072586,Community school
107504,,Community school
107505,10075640,Community school
107506,,Community school
107507,10080402,Community school
107508,,Community school
107509,,Community school
107510,10070903,Community school
107511,10075639,Community school
107512,10072585,Community school
107513,10072584,Community school
107514,10072583,Community school
107515,,Community school
107516,,Community school
107517,10072582,Community school
107518,10075638,Community school
107519,10070902,Community school
107520,10075637,Community school
107521,10075636,Community school
107522,10075635,Community school
107523,,Community school
107524,10072581,Community school
107525,10068769,Community school
107526,,Community school
107527,,Community school
107528,10072580,Community school
107529,10071438,Community school
107530,,Community school
107531,,Community school
107532,,Community school
107533,10075634,Community school
107534,10075633,Community school
107535,10068639,Voluntary controlled school
107536,,Voluntary controlled school
107537,10068638,Voluntary controlled school
107538,10068637,Voluntary controlled school
107539,,Voluntary controlled school
107540,10068636,Voluntary controlled school
107541,10075960,Voluntary controlled school
107542,,Voluntary aided school
107543,10068635,Voluntary aided school
107544,10078667,Voluntary aided school
107545,,Voluntary aided school
107546,10078666,Voluntary aided school
107547,10069836,Voluntary aided school
107548,10078347,Voluntary aided school
107549,10068634,Voluntary aided school
107550,10075959,Voluntary aided school
107551,10075958,Voluntary aided school
107552,10068633,Voluntary aided school
107553,,Voluntary aided school
107554,10071378,Voluntary aided school
107555,,Voluntary aided school
107556,10071377,Voluntary aided school
107557,10078665,Voluntary aided school
107558,,Voluntary aided school
107559,10078664,Voluntary aided school
107560,10078663,Voluntary aided school
107561,10016465,Foundation school
107562,10006619,Foundation school
107563,10006046,Community school
107564,10006929,Community school
107565,10005589,Foundation school
107566,10015714,Community school
107567,10006801,Community school
107568,,Foundation school
107569,10068632,Voluntary aided school
107570,10077520,Foundation school
107571,,Voluntary aided school
107572,,Voluntary aided school
107573,,Foundation school
107574,10006766,Foundation school
107575,10006648,Foundation school
107576,10005386,Foundation school
107577,10003130,Voluntary aided school
107578,10003104,Foundation school
107579,10006615,Foundation school
107580,10000880,Foundation school
107581,10006131,Voluntary aided school
107582,10077565,Other independent school
107583,10005482,Other independent school
107584,,Other independent school
107585,10008273,Other independent school
107586,10018532,Other independent school
107587,10015268,Other independent school
107588,10017476,Community special school
107589,10015753,Non-maintained special school
107590,10077005,Community special school
107591,10077004,Community special school
107592,,Local authority nursery school
107593,,Local authority nursery school
107594,,Local authority nursery school
107595,,Local authority nursery school
107596,10017116,Pupil referral unit
107597,,Community school
107598,,Community school
107599,10070901,Community school
107600,10072579,Community school
107601,10070900,Community school
107602,10075632,Community school
107603,,Community school
107604,,Community school
107605,,Community school
107606,,Community school
107607,10070899,Community school
107608,10070898,Community school
107609,,Community school
107610,,Community school
107611,,Community school
107612,10070897,Community school
107613,10078393,Community school
107614,,Community school
107615,10078392,Foundation school
107616,,Community school
107617,10075631,Community school
107618,,Community school
107619,,Community school
107620,10077339,Community school
107621,10071437,Community school
107622,10070896,Community school
107623,10072578,Foundation school
107624,,Community school
107625,,Community school
107626,10071436,Community school
107627,,Community school
107628,10068768,Community school
107629,,Community school
107630,10071435,Community school
107631,,Community school
107632,,Community school
107633,,Community school
107634,10072577,Community school
107635,,Community school
107636,10077338,Community school
107637,10075630,Community school
107638,,Community school
107639,10075629,Community school
107640,10068767,Community school
107641,10070895,Community school
107642,10075856,Community school
107643,10072576,Community school
107644,10070894,Community school
107645,10072575,Community school
107646,10075628,Community school
107647,10072574,Community school
107648,10072573,Community school
107649,,Community school
107650,10058011,Community school
107651,10068730,Community school
107652,10058009,Community school
107653,,Community school
107654,,Community school
107655,10075627,Community school
107656,10075626,Community school
107657,10072572,Community school
107658,10072571,Community school
107659,10072570,Community school
107660,10072569,Community school
107661,10072568,Community school
107662,,Community school
107663,10068729,Community school
107664,10072567,Community school
107665,10075625,Community school
107666,10072566,Community school
107667,10077337,Community school
107668,,Community school
107669,10075624,Community school
107670,10073042,Foundation school
107671,10075623,Community school
107672,10070893,Community school
107673,,Community school
107674,10075622,Community school
107675,,Community school
107676,10079878,Community school
107677,10075621,Community school
107678,10072565,Community school
107679,,Community school
107680,10072564,Community school
107681,10075620,Community school
107682,10079877,Community school
107683,10075619,Community school
107684,10075618,Community school
107685,10072563,Community school
107686,10070892,Community school
107687,10075617,Community school
107688,10068728,Community school
107689,,Community school
107690,10080390,Community school
107691,10068766,Community school
107692,,Community school
107693,10075616,Community school
107694,,Community school
107695,,Community school
107696,10073041,Foundation school
107697,10072562,Community school
107698,10069835,Voluntary controlled school
107699,10071376,Voluntary controlled school
107700,10078346,Voluntary controlled school
107701,10078345,Voluntary controlled school
107702,10078344,Voluntary controlled school
107703,,Voluntary controlled school
107704,,Voluntary controlled school
107705,10078343,Voluntary controlled school
107706,10071375,Voluntary controlled school
107707,10071374,Voluntary controlled school
107708,,Voluntary controlled school
107709,10068631,Voluntary controlled school
107710,10071373,Voluntary controlled school
107711,10068630,Voluntary controlled school
107712,,Voluntary controlled school
107713,10068629,Voluntary controlled school
107714,10068727,Voluntary controlled school
107715,10068726,Voluntary controlled school
107716,10075957,Voluntary controlled school
107717,10068725,Voluntary controlled school
107718,10068628,Voluntary controlled school
107719,10068627,Voluntary controlled school
107720,,Voluntary controlled school
107721,10068626,Voluntary controlled school
107722,10068724,Voluntary controlled school
107723,10069834,Voluntary controlled school
107724,,Voluntary controlled school
107725,10068625,Voluntary controlled school
107726,,Voluntary controlled school
107727,10077564,Voluntary aided school
107728,10075956,Voluntary controlled school
107729,,Voluntary controlled school
107730,10075955,Voluntary controlled school
107731,,Voluntary aided school
107732,10078662,Voluntary aided school
107733,10078661,Voluntary aided school
107734,10071372,Voluntary aided school
107735,,Voluntary aided school
107736,10075954,Voluntary aided school
107737,10075953,Voluntary aided school
107738,,Voluntary controlled school
107739,10068624,Voluntary aided school
107740,10068623,Voluntary aided school
107741,10068723,Voluntary aided school
107742,10068722,Voluntary aided school
107743,,Voluntary aided school
107744,10058015,Voluntary aided school
107745,10068721,Voluntary aided school
107746,,Voluntary aided school
107747,10075952,Voluntary controlled school
107748,10078660,Voluntary aided school
107749,10074946,Voluntary aided school
107750,10078659,Voluntary aided school
107751,10078658,Voluntary aided school
107752,10078657,Voluntary aided school
107753,10078656,Voluntary aided school
107754,10016217,Community school
107755,10017519,Foundation school
107756,10017561,Community school
107757,10017348,Community school
107758,10014912,Community school
107759,10015365,Community school
107760,10016919,Community school
107761,10016621,Community school
107762,10018507,Community school
107763,10015776,Foundation school
107764,10004393,Foundation school
107765,10018540,Community school
107766,10015115,Community school
107767,10014951,Community school
107768,10018685,Community school
107769,10015927,Community school
107770,10003172,Community school
107771,10005797,Community school
107772,10018479,Community school
107773,10018394,Community school
107774,10015021,Community school
107775,10015659,Foundation school
107776,10015641,Community school
107777,10018200,Community school
107778,10017619,Foundation school
107779,10018668,Community school
107780,10007480,Voluntary controlled school
107781,10018664,Voluntary controlled school
107782,10000219,Voluntary aided school
107783,10006192,Voluntary aided school
107784,10015121,Foundation school
107785,10002986,Foundation school
107786,10016094,Other independent school
107787,10077563,Other independent school
107788,,Other independent school
107789,,Other independent school
107790,10008090,Other independent school
107791,10015966,Other independent school
107792,10015214,Other independent school
107793,10016035,Other independent school
107794,10016428,Other independent school
107795,10018199,Other independent school
107796,10015800,Non-maintained special school
107797,10016179,Community special school
107798,,Community special school
107799,10018041,Community special school
107800,,Community special school
107801,10017861,Community special school
107802,10014993,Foundation special school
107803,,Community special school
107804,10016700,Community special school
107805,,Community special school
107806,,Local authority nursery school
107807,,Pupil referral unit
107808,,Pupil referral unit
107809,10073040,Foundation school
107810,10073039,Foundation school
107811,,Community school
107812,,Community school
107813,10075615,Community school
107814,,Community school
107815,,Community school
107816,,Community school
107817,10072561,Community school
107818,,Community school
107819,,Community school
107820,10075614,Community school
107821,,Community school
107822,,Community school
107823,,Community school
107824,10075613,Community school
107825,,Community school
107826,10075612,Community school
107827,10075611,Community school
107828,10078391,Community school
107829,,Community school
107830,10075610,Community school
107831,10075609,Community school
107832,10075608,Community school
107833,10070891,Community school
107834,10075607,Community school
107835,,Community school
107836,,Community school
107837,,Community school
107838,,Community school
107839,,Community school
107840,10073038,Foundation school
107841,,Community school
107842,10075606,Community school
107843,,Foundation school
107844,10078390,Community school
107845,10072282,Community school
107846,10072281,Community school
107847,10073037,Foundation school
107848,10072280,Community school
107849,10069032,Community school
107850,,Community school
107851,10079876,Community school
107852,,Community school
107853,,Community school
107854,10072279,Community school
107855,10073036,Foundation school
107856,,Community school
107857,,Community school
107858,10073035,Foundation school
107859,10080377,Foundation school
107860,10069031,Community school
107861,10077336,Community school
107862,10078389,Community school
107863,10072278,Community school
107864,,Community school
107865,,Community school
107866,10072277,Community school
107867,,Foundation school
107868,10073034,Foundation school
107869,10073033,Foundation school
107870,10069030,Community school
107871,,Foundation school
107872,,Foundation school
107873,10077519,Foundation school
107874,10072276,Community school
107875,,Foundation school
107876,10073032,Foundation school
107877,10072275,Community school
107878,,Community school
107879,10072274,Community school
107880,,Community school
107881,10078388,Community school
107882,10077335,Community school
107883,10072273,Community school
107884,10073031,Foundation school
107885,10073030,Foundation school
107886,10073029,Foundation school
107887,10072272,Community school
107888,10073028,Foundation school
107889,10073027,Foundation school
107890,10069029,Community school
107891,10073026,Foundation school
107892,10072271,Community school
107893,10077334,Community school
107894,10073025,Foundation school
107895,,Community school
107896,10040413,Foundation school
107897,10072270,Community school
107898,,Community school
107899,,Community school
107900,,Community school
107901,10078387,Foundation school
107902,,Community school
107903,10072269,Community school
107904,10068765,Community school
107905,,Community school
107906,,Community school
107907,,Community school
107908,10072268,Community school
107909,10072267,Community school
107910,10072266,Community school
107911,,Community school
107912,10072265,Community school
107913,10077333,Community school
107914,10069028,Community school
107915,10068764,Community school
107916,10078386,Community school
107917,10078385,Community school
107918,,Community school
107919,,Community school
107920,10073024,Foundation school
107921,,Community school
107922,,Community school
107923,10073023,Foundation school
107924,10068763,Community school
107925,10072264,Community school
107926,10072263,Community school
107927,,Community school
107928,10069027,Foundation school
107929,10053227,Foundation school
107930,,Community school
107931,,Community school
107932,10073022,Foundation school
107933,10072262,Community school
107934,10073021,Foundation school
107935,,Community school
107936,,Community school
107937,,Community school
107938,10068762,Community school
107939,10053224,Foundation school
107940,10078384,Community school
107941,10053242,Foundation school
107942,10053269,Foundation school
107943,10077332,Community school
107944,10072261,Community school
107945,10062906,Community school
107946,10069400,Foundation school
107947,10078383,Community school
107948,,Community school
107949,10072260,Community school
107950,10072259,Community school
107951,10072258,Community school
107952,10072257,Community school
107953,,Foundation school
107954,10069399,Foundation school
107955,,Community school
107956,,Community school
107957,10072256,Community school
107958,10069398,Foundation school
107959,10069397,Foundation school
107960,10072255,Community school
107961,10072254,Community school
107962,10072253,Community school
107963,10072252,Community school
107964,10072251,Community school
107965,10072250,Community school
107966,10072249,Community school
107967,10072248,Community school
107968,10072247,Community school
107969,10072246,Community school
107970,10078382,Community school
107971,,Community school
107972,10072245,Community school
107973,10072244,Community school
107974,,Community school
107975,10072243,Community school
107976,,Community school
107977,,Community school
107978,,Community school
107979,10078381,Community school
107980,,Community school
107981,10072242,Community school
107982,10072241,Community school
107983,,Foundation school
107984,10072240,Community school
107985,10068622,Voluntary controlled school
107986,10068621,Voluntary controlled school
107987,10075951,Voluntary controlled school
107988,,Voluntary controlled school
107989,10071371,Voluntary controlled school
107990,10068620,Voluntary controlled school
107991,,Voluntary controlled school
107992,10071370,Voluntary controlled school
107993,,Voluntary controlled school
107994,,Voluntary controlled school
107995,10071369,Voluntary controlled school
107996,10068619,Voluntary aided school
107997,10068618,Voluntary controlled school
107998,,Voluntary controlled school
107999,,Voluntary controlled school
108000,10068617,Voluntary controlled school
108001,10071368,Voluntary controlled school
108002,10075950,Voluntary controlled school
108003,10071367,Voluntary aided school
108004,,Voluntary controlled school
108005,10075949,Voluntary controlled school
108006,,Voluntary aided school
108007,10075948,Voluntary aided school
108008,10068616,Voluntary aided school
108009,10068615,Voluntary aided school
108010,10071366,Voluntary aided school
108011,10071365,Voluntary aided school
108012,10078655,Voluntary aided school
108013,,Voluntary aided school
108014,,Voluntary aided school
108015,,Voluntary aided school
108016,10078654,Voluntary aided school
108017,,Voluntary aided school
108018,10078653,Voluntary aided school
108019,,Voluntary aided school
108020,10078652,Voluntary aided school
108021,10078651,Voluntary aided school
108022,10078650,Voluntary aided school
108023,,Voluntary aided school
108024,10074487,Voluntary aided school
108025,10074486,Voluntary aided school
108026,10074485,Voluntary aided school
108027,10062086,Voluntary aided school
108028,10074484,Voluntary aided school
108029,10074483,Voluntary aided school
108030,10074482,Voluntary aided school
108031,10074481,Voluntary aided school
108032,10074480,Voluntary aided school
108033,10074479,Voluntary aided school
108034,,Voluntary aided school
108035,10074478,Voluntary aided school
108036,10074477,Voluntary aided school
108037,10074476,Voluntary aided school
108038,,Voluntary aided school
108039,10074475,Voluntary aided school
108040,,Voluntary aided school
108041,10068614,Voluntary aided school
108042,10074281,Voluntary aided school
108043,10068613,Voluntary aided school
108044,,Voluntary aided school
108045,,Voluntary aided school
108046,10068612,Voluntary aided school
108047,10068611,Voluntary aided school
108048,10075947,Voluntary aided school
108049,,Voluntary aided school
108050,10075946,Voluntary aided school
108051,10075945,Voluntary aided school
108052,10075944,Voluntary aided school
108053,10071364,Voluntary aided school
108054,10073730,Voluntary aided school
108055,10003793,Community school
108056,10001469,Community school
108057,10000231,Community school
108058,10000230,Community school
108059,10001204,Foundation school
108060,,Community school
108061,,Community school
108062,10005208,Community school
108063,10003502,Community school
108064,10006555,Foundation school
108065,10001527,Foundation school
108066,,Community school
108067,,Community school
108068,,Community school
108069,,Community school
108070,10003346,Community school
108071,10002418,Community school
108072,10007644,Community school
108073,10007421,Community school
108074,10004987,Community school
108075,10005377,Foundation school
108076,10005537,Community school
108077,,Community school
108078,10004433,Community school
108079,10005283,Foundation school
108080,10005988,Community school
108081,10005565,Foundation school
108082,10007612,Community school
108083,10000649,Community school
108084,10001746,Community school
108085,10002819,Foundation school
108086,10000962,Foundation school
108087,10005205,Foundation school
108088,10007467,Foundation school
108089,10002627,Foundation school
108090,10000888,Foundation school
108091,10000815,Foundation school
108092,10003155,Community school
108093,10004911,Voluntary controlled school
108094,10006221,Voluntary aided school
108095,10017847,Voluntary aided school
108096,10015465,Voluntary aided school
108097,10016547,Voluntary aided school
108098,,Voluntary aided school
108099,,Voluntary aided school
108100,10071363,Voluntary aided school
108101,10000042,Voluntary aided school
108102,10033642,Other independent school
108103,10078240,Other independent school
108104,10008247,Other independent school
108105,,Other independent school
108106,,Other independent school
108107,,Other independent school
108108,10077562,Other independent school
108109,10071150,Other independent school
108110,10016164,Other independent school
108111,,Other independent school
108112,10008341,Other independent school
108113,10003859,Other independent school
108114,10007610,Other independent school
108115,,Other independent school
108116,,Other independent school
108117,10002597,Other independent school
108118,,Other independent school
108119,10015944,Community special school
108120,10006283,Non-maintained special school
108121,,Community special school
108122,,Community special school
108123,10015124,Community special school
108124,,Community special school
108125,,Community special school
108126,,Community special school
108127,,Community special school
108128,,Community special school
108129,10015433,Community special school
108130,,Community special school
108131,,Community special school
108132,,Community special school
108133,10015607,Community special school
108134,,Local authority nursery school
108135,,Local authority nursery school
108136,,Local authority nursery school
108137,,Local authority nursery school
108138,,Local authority nursery school
108139,10017122,Pupil referral unit
108140,,Community school
108141,10079875,Community school
108142,,Community school
108143,,Community school
108144,,Community school
108145,,Community school
108146,,Community school
108147,,Community school
108148,10070890,Community school
108149,,Community school
108150,,Community school
108151,,Community school
108152,10077518,Foundation school
108153,,Foundation school
108154,,Community school
108155,,Community school
108156,,Community school
108157,,Community school
108158,10072239,Community school
108159,,Community school
108160,,Community school
108161,,Community school
108162,10072238,Community school
